artifact_id,family,condition,seed,arm,epoch,rows,canonical_events,summary_path,summary_sha256,prediction_path,prediction_sha256,ap,auc,macro_f1_at_0_5
frozen|panopticon_pretrained|seed=17|current_only,frozen,panopticon_pretrained,17,current_only,5,1706,441,/diniuvol/yuyao/methanefuse_research_20260727/query360_tq_v1/heads_v2/panopticon/summary.json,df038015d3cb24bda3add92bffab80db0cdd82c28cbdb16e3c4bbbb5a1354fe5,/diniuvol/yuyao/methanefuse_research_20260727/query360_tq_v1/heads_v2/panopticon/seed_17/current_only/validation_best_ap_predictions.csv,409494cdbe1d2e358c83ba293e2979993054e2500d5dbc829090d4d1896e8500,0.6535767859053433,0.6925664409880048,0.5712052211624072
frozen|panopticon_pretrained|seed=17|transient_query,frozen,panopticon_pretrained,17,transient_query,5,1706,441,/diniuvol/yuyao/methanefuse_research_20260727/query360_tq_v1/heads_v2/panopticon/summary.json,df038015d3cb24bda3add92bffab80db0cdd82c28cbdb16e3c4bbbb5a1354fe5,/diniuvol/yuyao/methanefuse_research_20260727/query360_tq_v1/heads_v2/panopticon/seed_17/transient_query/validation_best_ap_predictions.csv,0c75510fdc78e544db128c70102169160122dae126efe0d901bb33df392e22e3,0.6799692788891434,0.7278157598701552,0.5780464484112873
frozen|panopticon_pretrained|seed=17|scale_aware_transient_query,frozen,panopticon_pretrained,17,scale_aware_transient_query,5,1706,441,/diniuvol/yuyao/methanefuse_research_20260727/query360_tq_v1/heads_v2/panopticon/summary.json,df038015d3cb24bda3add92bffab80db0cdd82c28cbdb16e3c4bbbb5a1354fe5,/diniuvol/yuyao/methanefuse_research_20260727/query360_tq_v1/heads_v2/panopticon/seed_17/scale_aware_transient_query/validation_best_ap_predictions.csv,bfc96f2d925c619faa2738c3c0876cce3e8607c2026622dd47a0e2ea3664361e,0.6927356615989668,0.7340824591917354,0.6546315106370972
frozen|panopticon_pretrained|seed=17|history_shuffle_train,frozen,panopticon_pretrained,17,history_shuffle_train,5,1706,441,/diniuvol/yuyao/methanefuse_research_20260727/query360_tq_v1/heads_v2/panopticon/summary.json,df038015d3cb24bda3add92bffab80db0cdd82c28cbdb16e3c4bbbb5a1354fe5,/diniuvol/yuyao/methanefuse_research_20260727/query360_tq_v1/heads_v2/panopticon/seed_17/history_shuffle_train/validation_best_ap_predictions.csv,3d235a56959b5a47543ff57071f8a781cde76ace0b521a73daa160d442ccf03f,0.6513154217150751,0.6881870849816454,0.5775325987175899
frozen|panopticon_pretrained|seed=29|current_only,frozen,panopticon_pretrained,29,current_only,5,1706,441,/diniuvol/yuyao/methanefuse_research_20260727/query360_tq_v1/heads_v2/panopticon/summary.json,df038015d3cb24bda3add92bffab80db0cdd82c28cbdb16e3c4bbbb5a1354fe5,/diniuvol/yuyao/methanefuse_research_20260727/query360_tq_v1/heads_v2/panopticon/seed_29/current_only/validation_best_ap_predictions.csv,4d41cfbde0e1be3c71cc5477aaca5f3de205ae3395055145f4fe0b1833e0cc71,0.6537260547642252,0.697046805837481,0.637065402382689
frozen|panopticon_pretrained|seed=29|transient_query,frozen,panopticon_pretrained,29,transient_query,5,1706,441,/diniuvol/yuyao/methanefuse_research_20260727/query360_tq_v1/heads_v2/panopticon/summary.json,df038015d3cb24bda3add92bffab80db0cdd82c28cbdb16e3c4bbbb5a1354fe5,/diniuvol/yuyao/methanefuse_research_20260727/query360_tq_v1/heads_v2/panopticon/seed_29/transient_query/validation_best_ap_predictions.csv,0f98a38cae2332b011bfd73744c8a7cd311bea005315e7e59a0df1ec944e6c54,0.6837022842386542,0.7310452754843235,0.6598489971486534
frozen|panopticon_pretrained|seed=29|scale_aware_transient_query,frozen,panopticon_pretrained,29,scale_aware_transient_query,5,1706,441,/diniuvol/yuyao/methanefuse_research_20260727/query360_tq_v1/heads_v2/panopticon/summary.json,df038015d3cb24bda3add92bffab80db0cdd82c28cbdb16e3c4bbbb5a1354fe5,/diniuvol/yuyao/methanefuse_research_20260727/query360_tq_v1/heads_v2/panopticon/seed_29/scale_aware_transient_query/validation_best_ap_predictions.csv,163457bc11ac0c7ca2baf61984de0dffbe97db6e71f419bc3d09f35bc2762e2e,0.6895639804695883,0.7335262187132027,0.6665243794620161
frozen|panopticon_pretrained|seed=29|history_shuffle_train,frozen,panopticon_pretrained,29,history_shuffle_train,5,1706,441,/diniuvol/yuyao/methanefuse_research_20260727/query360_tq_v1/heads_v2/panopticon/summary.json,df038015d3cb24bda3add92bffab80db0cdd82c28cbdb16e3c4bbbb5a1354fe5,/diniuvol/yuyao/methanefuse_research_20260727/query360_tq_v1/heads_v2/panopticon/seed_29/history_shuffle_train/validation_best_ap_predictions.csv,c4f5f13d4a548d9ccd7bf24bf7dd1eff3ae568193e74df7e8b9b5689a351a9cd,0.6566900961291898,0.6981122415799443,0.633798442749454
frozen|panopticon_pretrained|seed=43|current_only,frozen,panopticon_pretrained,43,current_only,5,1706,441,/diniuvol/yuyao/methanefuse_research_20260727/query360_tq_v1/heads_v2/panopticon/summary.json,df038015d3cb24bda3add92bffab80db0cdd82c28cbdb16e3c4bbbb5a1354fe5,/diniuvol/yuyao/methanefuse_research_20260727/query360_tq_v1/heads_v2/panopticon/seed_43/current_only/validation_best_ap_predictions.csv,1183f8962987a82618c07cfa721f21b2328425f7d31a2c8ab359643b8df5d880,0.6464694341240914,0.689977570502097,0.5279841897233202
frozen|panopticon_pretrained|seed=43|transient_query,frozen,panopticon_pretrained,43,transient_query,5,1706,441,/diniuvol/yuyao/methanefuse_research_20260727/query360_tq_v1/heads_v2/panopticon/summary.json,df038015d3cb24bda3add92bffab80db0cdd82c28cbdb16e3c4bbbb5a1354fe5,/diniuvol/yuyao/methanefuse_research_20260727/query360_tq_v1/heads_v2/panopticon/seed_43/transient_query/validation_best_ap_predictions.csv,c526b9b5804fe8b4981ea15491d2cd4d87925bfd883715ed4fa6d2ea9ca0be85,0.6723617655242674,0.7143207016932127,0.5127176441253543
