contrast_id,family,seed,kind,metric,formula,aggregate_method,aggregate_seed_count,point_delta,bootstrap_mean_delta,bootstrap_median_delta,bootstrap_std_delta,ci_level,ci_low,ci_high,ci_excludes_zero,probability_delta_gt_0,probability_delta_lt_0,two_sided_bootstrap_sign_p,bootstrap_repeats,bootstrap_seed,paired_rows,canonical_events,left_artifact,right_artifact,left_point_metric,right_point_metric
frozen|seed=17|panopticon_pretrained|transient_query-minus-current_only,frozen,17,within_condition_arm_effect,ap,frozen|panopticon_pretrained|seed=17|transient_query - frozen|panopticon_pretrained|seed=17|current_only,,,0.026392492983800087,0.025740545311096076,0.02583796828689705,0.01088851475051366,0.95,0.004488446057488985,0.04655559329522376,True,0.9915,0.0085,0.017991004497751123,2000,20260727,1706,441,frozen|panopticon_pretrained|seed=17|transient_query,frozen|panopticon_pretrained|seed=17|current_only,0.6799692788891434,0.6535767859053433
frozen|seed=17|panopticon_pretrained|transient_query-minus-current_only,frozen,17,within_condition_arm_effect,auc,frozen|panopticon_pretrained|seed=17|transient_query - frozen|panopticon_pretrained|seed=17|current_only,,,0.03524931888215044,0.034821772689268754,0.035205621780249274,0.010239128791424225,0.95,0.013905910363122385,0.05373086783120209,True,0.999,0.001,0.0029985007496251873,2000,20260727,1706,441,frozen|panopticon_pretrained|seed=17|transient_query,frozen|panopticon_pretrained|seed=17|current_only,0.7278157598701552,0.6925664409880048
frozen|seed=17|panopticon_pretrained|transient_query-minus-current_only,frozen,17,within_condition_arm_effect,macro_f1_at_0_5,frozen|panopticon_pretrained|seed=17|transient_query - frozen|panopticon_pretrained|seed=17|current_only,,,0.006841227248880033,0.006763793399546156,0.006455806146080489,0.010242574920596664,0.95,-0.012889033952457276,0.02619417370015446,False,0.744,0.256,0.512743628185907,2000,20260727,1706,441,frozen|panopticon_pretrained|seed=17|transient_query,frozen|panopticon_pretrained|seed=17|current_only,0.5780464484112873,0.5712052211624072
frozen|seed=17|panopticon_pretrained|scale_aware_transient_query-minus-current_only,frozen,17,within_condition_arm_effect,ap,frozen|panopticon_pretrained|seed=17|scale_aware_transient_query - frozen|panopticon_pretrained|seed=17|current_only,,,0.03915887569362353,0.03845377167638363,0.03858716011509694,0.010767352104810522,0.95,0.016511467227526513,0.05903579688930753,True,1.0,0.0,0.0009995002498750624,2000,20260727,1706,441,frozen|panopticon_pretrained|seed=17|scale_aware_transient_query,frozen|panopticon_pretrained|seed=17|current_only,0.6927356615989668,0.6535767859053433
frozen|seed=17|panopticon_pretrained|scale_aware_transient_query-minus-current_only,frozen,17,within_condition_arm_effect,auc,frozen|panopticon_pretrained|seed=17|scale_aware_transient_query - frozen|panopticon_pretrained|seed=17|current_only,,,0.04151601820373063,0.041177242359614105,0.04132322497634594,0.009737762988992598,0.95,0.021941134515416662,0.059594970175627315,True,1.0,0.0,0.0009995002498750624,2000,20260727,1706,441,frozen|panopticon_pretrained|seed=17|scale_aware_transient_query,frozen|panopticon_pretrained|seed=17|current_only,0.7340824591917354,0.6925664409880048
frozen|seed=17|panopticon_pretrained|scale_aware_transient_query-minus-current_only,frozen,17,within_condition_arm_effect,macro_f1_at_0_5,frozen|panopticon_pretrained|seed=17|scale_aware_transient_query - frozen|panopticon_pretrained|seed=17|current_only,,,0.08342628947469,0.08384308723694572,0.08339900096748892,0.014822138968118239,0.95,0.0544281559265535,0.11309262485235012,True,1.0,0.0,0.0009995002498750624,2000,20260727,1706,441,frozen|panopticon_pretrained|seed=17|scale_aware_transient_query,frozen|panopticon_pretrained|seed=17|current_only,0.6546315106370972,0.5712052211624072
frozen|seed=17|panopticon_pretrained|transient_query-minus-history_shuffle_train,frozen,17,within_condition_arm_effect,ap,frozen|panopticon_pretrained|seed=17|transient_query - frozen|panopticon_pretrained|seed=17|history_shuffle_train,,,0.02865385717406832,0.028493517519984805,0.02853869629420458,0.011317474330102717,0.95,0.0062674062818434545,0.05085574935188125,True,0.9965,0.0035,0.0079960019990005,2000,20260727,1706,441,frozen|panopticon_pretrained|seed=17|transient_query,frozen|panopticon_pretrained|seed=17|history_shuffle_train,0.6799692788891434,0.6513154217150751
frozen|seed=17|panopticon_pretrained|transient_query-minus-history_shuffle_train,frozen,17,within_condition_arm_effect,auc,frozen|panopticon_pretrained|seed=17|transient_query - frozen|panopticon_pretrained|seed=17|history_shuffle_train,,,0.03962867488850985,0.0393950876606438,0.039700599993127084,0.010481606959761372,0.95,0.017915312172101263,0.06001411336141645,True,1.0,0.0,0.0009995002498750624,2000,20260727,1706,441,frozen|panopticon_pretrained|seed=17|transient_query,frozen|panopticon_pretrained|seed=17|history_shuffle_train,0.7278157598701552,0.6881870849816454
frozen|seed=17|panopticon_pretrained|transient_query-minus-history_shuffle_train,frozen,17,within_condition_arm_effect,macro_f1_at_0_5,frozen|panopticon_pretrained|seed=17|transient_query - frozen|panopticon_pretrained|seed=17|history_shuffle_train,,,0.000513849693697388,0.0003943472701066492,-8.995390311533624e-05,0.011671536370547549,0.95,-0.02244305820224623,0.023544676557213158,False,0.496,0.504,0.992503748125937,2000,20260727,1706,441,frozen|panopticon_pretrained|seed=17|transient_query,frozen|panopticon_pretrained|seed=17|history_shuffle_train,0.5780464484112873,0.5775325987175899
frozen|seed=17|panopticon_pretrained|scale_aware_transient_query-minus-transient_query,frozen,17,within_condition_arm_effect,ap,frozen|panopticon_pretrained|seed=17|scale_aware_transient_query - frozen|panopticon_pretrained|seed=17|transient_query,,,0.012766382709823443,0.012713226365287548,0.012719268155298002,0.005291630597822444,0.95,0.0024969452304994507,0.023424747160358778,True,0.993,0.007,0.014992503748125937,2000,20260727,1706,441,frozen|panopticon_pretrained|seed=17|scale_aware_transient_query,frozen|panopticon_pretrained|seed=17|transient_query,0.6927356615989668,0.6799692788891434
