id,label,plume_id,path,path_plume,source_x,source_y,latitude,longitude,event_time,t0_image_time,prev1_image_time,prev2_image_time,prev3_image_time,seasonal_image_time,year_image_time,path_t0,path_prev1,path_prev2,path_prev3,path_seasonal,path_year
4864,1,GAO20200714t172448p0000-H,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32/all/GAO20200714t172448p0000-H/pos_00_x266_y242,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32/all/GAO20200714t172448p0000-H/pos_00_x266_y242/plume.tif,266,242,32.209546,-103.88555,2020-07-14T17:24:48+00,2020-07-14T17:28:59.024000Z,2020-07-09T17:29:01.024000Z,2020-07-04T17:28:59.024000Z,2020-06-29T17:29:01.024000Z,,,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_00_x266_y242/s2_0.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_00_x266_y242/s2_prev1.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_00_x266_y242/s2_prev2.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_00_x266_y242/s2_prev3.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_00_x266_y242/s2_seasonal.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_00_x266_y242/s2_year.tif
4865,1,GAO20200714t172448p0000-H,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32/all/GAO20200714t172448p0000-H/pos_01_x159_y189,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32/all/GAO20200714t172448p0000-H/pos_01_x159_y189/plume.tif,159,189,32.209546,-103.88555,2020-07-14T17:24:48+00,2020-07-14T17:28:59.024000Z,2020-07-09T17:29:01.024000Z,2020-07-04T17:28:59.024000Z,2020-06-29T17:29:01.024000Z,,,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_01_x159_y189/s2_0.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_01_x159_y189/s2_prev1.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_01_x159_y189/s2_prev2.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_01_x159_y189/s2_prev3.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_01_x159_y189/s2_seasonal.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_01_x159_y189/s2_year.tif
4866,1,GAO20200714t172448p0000-H,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32/all/GAO20200714t172448p0000-H/pos_02_x322_y241,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32/all/GAO20200714t172448p0000-H/pos_02_x322_y241/plume.tif,322,241,32.209546,-103.88555,2020-07-14T17:24:48+00,2020-07-14T17:28:59.024000Z,2020-07-09T17:29:01.024000Z,2020-07-04T17:28:59.024000Z,2020-06-29T17:29:01.024000Z,,,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_02_x322_y241/s2_0.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_02_x322_y241/s2_prev1.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_02_x322_y241/s2_prev2.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_02_x322_y241/s2_prev3.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_02_x322_y241/s2_seasonal.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_02_x322_y241/s2_year.tif
4867,1,GAO20200714t172448p0000-H,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32/all/GAO20200714t172448p0000-H/pos_03_x185_y176,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32/all/GAO20200714t172448p0000-H/pos_03_x185_y176/plume.tif,185,176,32.209546,-103.88555,2020-07-14T17:24:48+00,2020-07-14T17:28:59.024000Z,2020-07-09T17:29:01.024000Z,2020-07-04T17:28:59.024000Z,2020-06-29T17:29:01.024000Z,,,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_03_x185_y176/s2_0.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_03_x185_y176/s2_prev1.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_03_x185_y176/s2_prev2.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_03_x185_y176/s2_prev3.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_03_x185_y176/s2_seasonal.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_03_x185_y176/s2_year.tif
4868,1,GAO20200714t172448p0000-H,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32/all/GAO20200714t172448p0000-H/pos_04_x236_y336,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32/all/GAO20200714t172448p0000-H/pos_04_x236_y336/plume.tif,236,336,32.209546,-103.88555,2020-07-14T17:24:48+00,2020-07-14T17:28:59.024000Z,2020-07-09T17:29:01.024000Z,2020-07-04T17:28:59.024000Z,2020-06-29T17:29:01.024000Z,,,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_04_x236_y336/s2_0.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_04_x236_y336/s2_prev1.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_04_x236_y336/s2_prev2.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_04_x236_y336/s2_prev3.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_04_x236_y336/s2_seasonal.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_04_x236_y336/s2_year.tif
4869,1,GAO20200714t172448p0000-H,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32/all/GAO20200714t172448p0000-H/pos_05_x172_y169,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32/all/GAO20200714t172448p0000-H/pos_05_x172_y169/plume.tif,172,169,32.209546,-103.88555,2020-07-14T17:24:48+00,2020-07-14T17:28:59.024000Z,2020-07-09T17:29:01.024000Z,2020-07-04T17:28:59.024000Z,2020-06-29T17:29:01.024000Z,,,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_05_x172_y169/s2_0.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_05_x172_y169/s2_prev1.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_05_x172_y169/s2_prev2.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_05_x172_y169/s2_prev3.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_05_x172_y169/s2_seasonal.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_05_x172_y169/s2_year.tif
4870,1,GAO20200714t172448p0000-H,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32/all/GAO20200714t172448p0000-H/pos_06_x318_y198,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32/all/GAO20200714t172448p0000-H/pos_06_x318_y198/plume.tif,318,198,32.209546,-103.88555,2020-07-14T17:24:48+00,2020-07-14T17:28:59.024000Z,2020-07-09T17:29:01.024000Z,2020-07-04T17:28:59.024000Z,2020-06-29T17:29:01.024000Z,,,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_06_x318_y198/s2_0.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_06_x318_y198/s2_prev1.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_06_x318_y198/s2_prev2.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_06_x318_y198/s2_prev3.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_06_x318_y198/s2_seasonal.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_06_x318_y198/s2_year.tif
4871,1,GAO20200714t172448p0000-H,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32/all/GAO20200714t172448p0000-H/pos_07_x222_y319,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32/all/GAO20200714t172448p0000-H/pos_07_x222_y319/plume.tif,222,319,32.209546,-103.88555,2020-07-14T17:24:48+00,2020-07-14T17:28:59.024000Z,2020-07-09T17:29:01.024000Z,2020-07-04T17:28:59.024000Z,2020-06-29T17:29:01.024000Z,,,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_07_x222_y319/s2_0.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_07_x222_y319/s2_prev1.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_07_x222_y319/s2_prev2.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_07_x222_y319/s2_prev3.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_07_x222_y319/s2_seasonal.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_07_x222_y319/s2_year.tif
4872,1,GAO20200714t172448p0000-H,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32/all/GAO20200714t172448p0000-H/pos_08_x207_y286,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32/all/GAO20200714t172448p0000-H/pos_08_x207_y286/plume.tif,207,286,32.209546,-103.88555,2020-07-14T17:24:48+00,2020-07-14T17:28:59.024000Z,2020-07-09T17:29:01.024000Z,2020-07-04T17:28:59.024000Z,2020-06-29T17:29:01.024000Z,,,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_08_x207_y286/s2_0.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_08_x207_y286/s2_prev1.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_08_x207_y286/s2_prev2.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_08_x207_y286/s2_prev3.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_08_x207_y286/s2_seasonal.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_08_x207_y286/s2_year.tif
4873,1,GAO20200714t172448p0000-H,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32/all/GAO20200714t172448p0000-H/pos_09_x241_y181,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32/all/GAO20200714t172448p0000-H/pos_09_x241_y181/plume.tif,241,181,32.209546,-103.88555,2020-07-14T17:24:48+00,2020-07-14T17:28:59.024000Z,2020-07-09T17:29:01.024000Z,2020-07-04T17:28:59.024000Z,2020-06-29T17:29:01.024000Z,,,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_09_x241_y181/s2_0.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_09_x241_y181/s2_prev1.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_09_x241_y181/s2_prev2.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_09_x241_y181/s2_prev3.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_09_x241_y181/s2_seasonal.tif,/mnt/engg-niulab/yuyao/final_crop/s2_6time_32_to_224/all/GAO20200714t172448p0000-H/pos_09_x241_y181/s2_year.tif
