id,plume_id,datetime,sample_id,site_id,acquisition_time_utc,latitude,longitude,label,ground_truth_source,evidence_class,audit_note,source_claim_validity
s2_cr0_20210805_33p630634_m114p489143,S2_NEG_01_03,2021-08-05T18:09:21Z,S2_NEG_01_03,Ehrenberg_AZ_release_stack,2021-08-05 18:09:21+00:00,33.6306336125302,-114.48914318513344,0,2023_Scientific_Reports,outside_controlled_release_campaign_assumption,Same release site but outside the published 2021-10-16 through 2021-11-03 campaign; no per-scene methane ground truth.,not_directly_supported
s2_cr0_20210808_33p630634_m114p489143,S2_NEG_01_04,2021-08-08T18:19:21Z,S2_NEG_01_04,Ehrenberg_AZ_release_stack,2021-08-08 18:19:21+00:00,33.6306336125302,-114.48914318513344,0,2023_Scientific_Reports,outside_controlled_release_campaign_assumption,Same release site but outside the published 2021-10-16 through 2021-11-03 campaign; no per-scene methane ground truth.,not_directly_supported
s2_cr0_20210903_39p487903_m80p546829,MethaneAIR_site_073_negative_001,2021-09-03T16:08:19Z,MethaneAIR_site_073_negative_001,MethaneAIR_site_073,2021-09-03 16:08:19+00:00,39.48790317419618,-80.54682932001603,0,MethaneAIR,methaneair_catalog_absence_not_negative_label,L4point is a point-source detection catalog without non-detection/coverage labels; absence of a point is not negative ground truth.,not_directly_supported
s2_cr0_20210907_33p630634_m114p489143,S2_HIGH_NEG_015,2021-09-07T18:19:21Z,S2_HIGH_NEG_015,Ehrenberg_AZ_release_stack,2021-09-07 18:19:21+00:00,33.6306336125302,-114.48914318513344,0,2023_Scientific_Reports,outside_controlled_release_campaign_assumption,Same release site but outside the published 2021-10-16 through 2021-11-03 campaign; no per-scene methane ground truth.,not_directly_supported
s2_cr0_20210909_33p630634_m114p489143,S2_HIGH_NEG_016,2021-09-09T18:09:09Z,S2_HIGH_NEG_016,Ehrenberg_AZ_release_stack,2021-09-09 18:09:09+00:00,33.6306336125302,-114.48914318513344,0,2023_Scientific_Reports,outside_controlled_release_campaign_assumption,Same release site but outside the published 2021-10-16 through 2021-11-03 campaign; no per-scene methane ground truth.,not_directly_supported
s2_cr0_20210912_33p630634_m114p489143,S2_HIGH_NEG_011,2021-09-12T18:19:09Z,S2_HIGH_NEG_011,Ehrenberg_AZ_release_stack,2021-09-12 18:19:09+00:00,33.6306336125302,-114.48914318513344,0,2023_Scientific_Reports,outside_controlled_release_campaign_assumption,Same release site but outside the published 2021-10-16 through 2021-11-03 campaign; no per-scene methane ground truth.,not_directly_supported
s2_cr0_20210914_33p630634_m114p489143,S2_HIGH_NEG_012,2021-09-14T18:09:51Z,S2_HIGH_NEG_012,Ehrenberg_AZ_release_stack,2021-09-14 18:09:51+00:00,33.6306336125302,-114.48914318513344,0,2023_Scientific_Reports,outside_controlled_release_campaign_assumption,Same release site but outside the published 2021-10-16 through 2021-11-03 campaign; no per-scene methane ground truth.,not_directly_supported
s2_cr0_20210919_33p630634_m114p489143,S2_HIGH_NEG_007,2021-09-19T18:09:19Z,S2_HIGH_NEG_007,Ehrenberg_AZ_release_stack,2021-09-19 18:09:19+00:00,33.6306336125302,-114.48914318513344,0,2023_Scientific_Reports,outside_controlled_release_campaign_assumption,Same release site but outside the published 2021-10-16 through 2021-11-03 campaign; no per-scene methane ground truth.,not_directly_supported
s2_cr0_20210922_33p630634_m114p489143,S2_HIGH_NEG_008,2021-09-22T18:19:59Z,S2_HIGH_NEG_008,Ehrenberg_AZ_release_stack,2021-09-22 18:19:59+00:00,33.6306336125302,-114.48914318513344,0,2023_Scientific_Reports,outside_controlled_release_campaign_assumption,Same release site but outside the published 2021-10-16 through 2021-11-03 campaign; no per-scene methane ground truth.,not_directly_supported
s2_cr0_20211002_32p200692_m103p684387,MethaneAIR_site_038_negative_006,2021-10-02T17:31:41Z,MethaneAIR_site_038_negative_006,MethaneAIR_site_038,2021-10-02 17:31:41+00:00,32.200692403948175,-103.68438683381196,0,MethaneAIR,methaneair_catalog_absence_not_negative_label,L4point is a point-source detection catalog without non-detection/coverage labels; absence of a point is not negative ground truth.,not_directly_supported
