id,label,latitude,longitude,available_sensor,S2_t0_path,S2_pre_path,S2_pre_pre_path,S2_plume_label_path,L89_t0_path,L89_pre_path,L89_pre_pre_path,L89_plume_label_path,EMIT_t0_path,EMIT_pre_path,EMIT_pre_pre_path,EMIT_plume_label_path,S5p_temporal_path
13167,1,40.183851,-109.323911,S2,data/960m_GSD/s2/13167/s2.tif,data/960m_GSD/s2/13167/s2_pre.tif,data/960m_GSD/s2/13167/s2_pre_pre.tif,data/960m_GSD/s2/13167/s2_plume.tif,,,,,,,,,
13174,1,40.183851,-109.323911,S2,data/960m_GSD/s2/13174/s2.tif,data/960m_GSD/s2/13174/s2_pre.tif,data/960m_GSD/s2/13174/s2_pre_pre.tif,data/960m_GSD/s2/13174/s2_plume.tif,,,,,,,,,
13182,1,40.183851,-109.323911,S2,data/960m_GSD/s2/13182/s2.tif,data/960m_GSD/s2/13182/s2_pre.tif,data/960m_GSD/s2/13182/s2_pre_pre.tif,data/960m_GSD/s2/13182/s2_plume.tif,,,,,,,,,
13193,1,40.183851,-109.323911,S2,data/960m_GSD/s2/13193/s2.tif,data/960m_GSD/s2/13193/s2_pre.tif,data/960m_GSD/s2/13193/s2_pre_pre.tif,data/960m_GSD/s2/13193/s2_plume.tif,,,,,,,,,
13200,1,40.183851,-109.323911,S2,data/960m_GSD/s2/13200/s2.tif,data/960m_GSD/s2/13200/s2_pre.tif,data/960m_GSD/s2/13200/s2_pre_pre.tif,data/960m_GSD/s2/13200/s2_plume.tif,,,,,,,,,
13206,1,40.183851,-109.323911,S2,data/960m_GSD/s2/13206/s2.tif,data/960m_GSD/s2/13206/s2_pre.tif,data/960m_GSD/s2/13206/s2_pre_pre.tif,data/960m_GSD/s2/13206/s2_plume.tif,,,,,,,,,
13214,1,40.183851,-109.323911,S2,data/960m_GSD/s2/13214/s2.tif,data/960m_GSD/s2/13214/s2_pre.tif,data/960m_GSD/s2/13214/s2_pre_pre.tif,data/960m_GSD/s2/13214/s2_plume.tif,,,,,,,,,
13222,1,40.183851,-109.323911,S2,data/960m_GSD/s2/13222/s2.tif,data/960m_GSD/s2/13222/s2_pre.tif,data/960m_GSD/s2/13222/s2_pre_pre.tif,data/960m_GSD/s2/13222/s2_plume.tif,,,,,,,,,
13230,1,40.183851,-109.323911,S2,data/960m_GSD/s2/13230/s2.tif,data/960m_GSD/s2/13230/s2_pre.tif,data/960m_GSD/s2/13230/s2_pre_pre.tif,data/960m_GSD/s2/13230/s2_plume.tif,,,,,,,,,
13239,1,40.183851,-109.323911,S2,data/960m_GSD/s2/13239/s2.tif,data/960m_GSD/s2/13239/s2_pre.tif,data/960m_GSD/s2/13239/s2_pre_pre.tif,data/960m_GSD/s2/13239/s2_plume.tif,,,,,,,,,
13248,1,40.183851,-109.323911,S2,data/960m_GSD/s2/13248/s2.tif,data/960m_GSD/s2/13248/s2_pre.tif,data/960m_GSD/s2/13248/s2_pre_pre.tif,data/960m_GSD/s2/13248/s2_plume.tif,,,,,,,,,
13256,1,40.183851,-109.323911,S2,data/960m_GSD/s2/13256/s2.tif,data/960m_GSD/s2/13256/s2_pre.tif,data/960m_GSD/s2/13256/s2_pre_pre.tif,data/960m_GSD/s2/13256/s2_plume.tif,,,,,,,,,
13263,1,40.183851,-109.323911,S2,data/960m_GSD/s2/13263/s2.tif,data/960m_GSD/s2/13263/s2_pre.tif,data/960m_GSD/s2/13263/s2_pre_pre.tif,data/960m_GSD/s2/13263/s2_plume.tif,,,,,,,,,
13271,1,40.183851,-109.323911,S2,data/960m_GSD/s2/13271/s2.tif,data/960m_GSD/s2/13271/s2_pre.tif,data/960m_GSD/s2/13271/s2_pre_pre.tif,data/960m_GSD/s2/13271/s2_plume.tif,,,,,,,,,
13283,1,40.183851,-109.323911,S2,data/960m_GSD/s2/13283/s2.tif,data/960m_GSD/s2/13283/s2_pre.tif,data/960m_GSD/s2/13283/s2_pre_pre.tif,data/960m_GSD/s2/13283/s2_plume.tif,,,,,,,,,
13297,1,40.183851,-109.323911,S2,data/960m_GSD/s2/13297/s2.tif,data/960m_GSD/s2/13297/s2_pre.tif,data/960m_GSD/s2/13297/s2_pre_pre.tif,data/960m_GSD/s2/13297/s2_plume.tif,,,,,,,,,
13310,0,40.183851,-109.323911,S2,data/960m_GSD/s2/13310/s2.tif,data/960m_GSD/s2/13310/s2_pre.tif,data/960m_GSD/s2/13310/s2_pre_pre.tif,data/960m_GSD/s2/13310/s2_plume.tif,,,,,,,,,
13321,0,40.183851,-109.323911,S2,data/960m_GSD/s2/13321/s2.tif,data/960m_GSD/s2/13321/s2_pre.tif,data/960m_GSD/s2/13321/s2_pre_pre.tif,data/960m_GSD/s2/13321/s2_plume.tif,,,,,,,,,
13335,0,40.183851,-109.323911,S2,data/960m_GSD/s2/13335/s2.tif,data/960m_GSD/s2/13335/s2_pre.tif,data/960m_GSD/s2/13335/s2_pre_pre.tif,data/960m_GSD/s2/13335/s2_plume.tif,,,,,,,,,
13345,0,40.183851,-109.323911,S2,data/960m_GSD/s2/13345/s2.tif,data/960m_GSD/s2/13345/s2_pre.tif,data/960m_GSD/s2/13345/s2_pre_pre.tif,data/960m_GSD/s2/13345/s2_plume.tif,,,,,,,,,
13356,0,40.183851,-109.323911,S2,data/960m_GSD/s2/13356/s2.tif,data/960m_GSD/s2/13356/s2_pre.tif,data/960m_GSD/s2/13356/s2_pre_pre.tif,data/960m_GSD/s2/13356/s2_plume.tif,,,,,,,,,
13360,0,40.183851,-109.323911,S2,data/960m_GSD/s2/13360/s2.tif,data/960m_GSD/s2/13360/s2_pre.tif,data/960m_GSD/s2/13360/s2_pre_pre.tif,data/960m_GSD/s2/13360/s2_plume.tif,,,,,,,,,
13365,0,40.183851,-109.323911,S2,data/960m_GSD/s2/13365/s2.tif,data/960m_GSD/s2/13365/s2_pre.tif,data/960m_GSD/s2/13365/s2_pre_pre.tif,data/960m_GSD/s2/13365/s2_plume.tif,,,,,,,,,
13372,0,40.183851,-109.323911,S2,data/960m_GSD/s2/13372/s2.tif,data/960m_GSD/s2/13372/s2_pre.tif,data/960m_GSD/s2/13372/s2_pre_pre.tif,data/960m_GSD/s2/13372/s2_plume.tif,,,,,,,,,
13380,0,40.183851,-109.323911,S2,data/960m_GSD/s2/13380/s2.tif,data/960m_GSD/s2/13380/s2_pre.tif,data/960m_GSD/s2/13380/s2_pre_pre.tif,data/960m_GSD/s2/13380/s2_plume.tif,,,,,,,,,
13387,0,40.183851,-109.323911,S2,data/960m_GSD/s2/13387/s2.tif,data/960m_GSD/s2/13387/s2_pre.tif,data/960m_GSD/s2/13387/s2_pre_pre.tif,data/960m_GSD/s2/13387/s2_plume.tif,,,,,,,,,
