id,plume_id,label,latitude,longitude,datetime,availability_set,actual_overlap,base_avg_score_uncalibrated,base_avg_score_calibrated,base_pred_calibrated,ada_score_inferred,ada_pred_inferred,inference_bucket,pred_prob1_s2,pred_prob1_l89,pred_prob1_emit,pred_prob1_s5p,base_prob1_s2_cal,base_prob1_l89_cal,base_prob1_emit_cal,base_prob1_s5p_cal
1,GAO20191020t153619p0000-C,1,31.0748638,-101.39618,2019-10-20T15:36:19Z,S2,False,0.8938890120967742,0.8938890120967742,1,0.850558473332246,1,S2|y=1|pred=1|random_seed=20260525|image_targets_soft_regularized,0.8938890120967742,,,,0.8938890120967742,,,
33,GAO20191020t153619p0000-C,1,31.0748638,-101.39618,2019-10-20T15:36:19Z,S2,False,0.7401830519153225,0.7401830519153225,1,0.1810845874416191,0,S2|y=1|pred=0|random_seed=20260525|image_targets_soft_regularized,0.7401830519153225,,,,0.7401830519153225,,,
57,GAO20191020t153619p0000-C,1,31.0748638,-101.39618,2019-10-20T15:36:19Z,S2,False,0.9888158014112904,0.9888158014112904,1,0.6021676724840972,1,S2|y=1|pred=1|random_seed=20260525|image_targets_soft_regularized,0.9888158014112904,,,,0.9888158014112904,,,
68,GAO20191020t153619p0000-C,1,31.0748638,-101.39618,2019-10-20T15:36:19Z,S2,False,0.4764015983026874,0.4764015983026874,0,0.6059040939487849,1,S2|y=1|pred=1|random_seed=20260525|image_targets_soft_regularized,0.4764015983026874,,,,0.4764015983026874,,,
91,GAO20191020t153619p0000-C,1,31.0748638,-101.39618,2019-10-20T15:36:19Z,S2,False,0.9786316028225808,0.9786316028225808,1,0.8096202903278421,1,S2|y=1|pred=1|random_seed=20260525|image_targets_soft_regularized,0.9786316028225808,,,,0.9786316028225808,,,
112,GAO20191020t153619p0000-C,1,31.0748638,-101.39618,2019-10-20T15:36:19Z,S2,False,0.7719300907258064,0.7719300907258064,1,0.8746015331919752,1,S2|y=1|pred=1|random_seed=20260525|image_targets_soft_regularized,0.7719300907258064,,,,0.7719300907258064,,,
130,GAO20191020t153619p0000-C,1,31.0748638,-101.39618,2019-10-20T15:36:19Z,S2,False,0.516319279233871,0.516319279233871,1,0.757797749143696,1,S2|y=1|pred=1|random_seed=20260525|image_targets_soft_regularized,0.516319279233871,,,,0.516319279233871,,,
153,GAO20191020t153619p0000-C,1,31.0748638,-101.39618,2019-10-20T15:36:19Z,S2,False,0.4481752899575672,0.4481752899575672,0,0.9615951720763334,1,S2|y=1|pred=1|random_seed=20260525|image_targets_soft_regularized,0.4481752899575672,,,,0.4481752899575672,,,
165,GAO20191020t153619p0000-C,1,31.0748638,-101.39618,2019-10-20T15:36:19Z,S2,False,0.8999869581653226,0.8999869581653226,1,0.5335312347088567,1,S2|y=1|pred=1|random_seed=20260525|image_targets_soft_regularized,0.8999869581653226,,,,0.8999869581653226,,,
185,GAO20191020t153619p0000-C,1,31.0748638,-101.39618,2019-10-20T15:36:19Z,S2,False,0.8631478200604839,0.8631478200604839,1,0.9868566302397652,1,S2|y=1|pred=1|random_seed=20260525|image_targets_soft_regularized,0.8631478200604839,,,,0.8631478200604839,,,
202,GAO20191020t153619p0000-C,1,31.0748638,-101.39618,2019-10-20T15:36:19Z,S2,False,0.8576156628024193,0.8576156628024193,1,0.9844198336323602,1,S2|y=1|pred=1|random_seed=20260525|image_targets_soft_regularized,0.8576156628024193,,,,0.8576156628024193,,,
224,GAO20191020t153619p0000-C,1,31.0748638,-101.39618,2019-10-20T15:36:19Z,S2,False,0.9661842489919354,0.9661842489919354,1,0.9045741314630568,1,S2|y=1|pred=1|random_seed=20260525|image_targets_soft_regularized,0.9661842489919354,,,,0.9661842489919354,,,
242,GAO20191020t153619p0000-C,1,31.0748638,-101.39618,2019-10-20T15:36:19Z,S2,False,0.7891552167338709,0.7891552167338709,1,0.8740329473169139,1,S2|y=1|pred=1|random_seed=20260525|image_targets_soft_regularized,0.7891552167338709,,,,0.7891552167338709,,,
