id,label,plume_id,path,path_plume,source_x,source_y,latitude,longitude,event_time,t0_image_time,prev1_image_time,prev2_image_time,prev3_image_time,seasonal_image_time,year_image_time,path_t0,path_prev1,path_prev2,path_prev3,path_seasonal,path_year,event_group_id,_local_six_role_complete
335513,0,GAO20191022t151126p0000-D,/mnt/engg-niulab/Yuyao/preprocessed_512/L89/l89_6time_temporal_16_resized_to_224/00335513,/mnt/engg-niulab/Yuyao/preprocessed_512/L89/l89_6time_temporal_16_resized_to_224/00335513/plume.tif,24,396,32.050034,-104.05484,2019-10-22T15:11:26Z,2019-10-22T17:33:54Z,2019-10-06T17:33:52Z,2019-09-29T17:27:40Z,2019-09-20T17:33:48Z,2019-07-27T17:27:20Z,2018-10-28T17:27:13Z,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335513/l89_0.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335513/l89_prev1.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335513/l89_prev2.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335513/l89_prev3.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335513/l89_seasonal.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335513/l89_year.tif,GAO20191022t151126p0000,False
335514,1,GAO20191022t151126p0000-F,/mnt/engg-niulab/Yuyao/preprocessed_512/L89/l89_6time_temporal_16_resized_to_224/00335514,/mnt/engg-niulab/Yuyao/preprocessed_512/L89/l89_6time_temporal_16_resized_to_224/00335514/plume.tif,246,248,32.026716,-104.11718,2019-10-22T15:11:26Z,2019-10-22T17:33:54Z,2019-10-06T17:33:52Z,2019-09-29T17:27:40Z,2019-09-20T17:33:48Z,2019-07-27T17:27:20Z,2018-10-28T17:27:13Z,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335514/l89_0.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335514/l89_prev1.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335514/l89_prev2.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335514/l89_prev3.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335514/l89_seasonal.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335514/l89_year.tif,GAO20191022t151126p0000,False
335519,1,GAO20191022t151126p0000-F,/mnt/engg-niulab/Yuyao/preprocessed_512/L89/l89_6time_temporal_16_resized_to_224/00335519,/mnt/engg-niulab/Yuyao/preprocessed_512/L89/l89_6time_temporal_16_resized_to_224/00335519/plume.tif,253,245,32.026716,-104.11718,2019-10-22T15:11:26Z,2019-10-22T17:33:54Z,2019-10-06T17:33:52Z,2019-09-29T17:27:40Z,2019-09-20T17:33:48Z,2019-07-27T17:27:20Z,2018-10-28T17:27:13Z,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335519/l89_0.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335519/l89_prev1.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335519/l89_prev2.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335519/l89_prev3.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335519/l89_seasonal.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335519/l89_year.tif,GAO20191022t151126p0000,False
335530,0,GAO20191022t151126p0000-D,/mnt/engg-niulab/Yuyao/preprocessed_512/L89/l89_6time_temporal_16_resized_to_224/00335530,/mnt/engg-niulab/Yuyao/preprocessed_512/L89/l89_6time_temporal_16_resized_to_224/00335530/plume.tif,112,71,32.050034,-104.05484,2019-10-22T15:11:26Z,2019-10-22T17:33:54Z,2019-10-06T17:33:52Z,2019-09-29T17:27:40Z,2019-09-20T17:33:48Z,2019-07-27T17:27:20Z,2018-10-28T17:27:13Z,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335530/l89_0.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335530/l89_prev1.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335530/l89_prev2.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335530/l89_prev3.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335530/l89_seasonal.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335530/l89_year.tif,GAO20191022t151126p0000,False
335531,1,GAO20191022t151126p0000-F,/mnt/engg-niulab/Yuyao/preprocessed_512/L89/l89_6time_temporal_16_resized_to_224/00335531,/mnt/engg-niulab/Yuyao/preprocessed_512/L89/l89_6time_temporal_16_resized_to_224/00335531/plume.tif,250,253,32.026716,-104.11718,2019-10-22T15:11:26Z,2019-10-22T17:33:54Z,2019-10-06T17:33:52Z,2019-09-29T17:27:40Z,2019-09-20T17:33:48Z,2019-07-27T17:27:20Z,2018-10-28T17:27:13Z,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335531/l89_0.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335531/l89_prev1.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335531/l89_prev2.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335531/l89_prev3.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335531/l89_seasonal.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335531/l89_year.tif,GAO20191022t151126p0000,True
335545,1,GAO20191022t151126p0000-F,/mnt/engg-niulab/Yuyao/preprocessed_512/L89/l89_6time_temporal_16_resized_to_224/00335545,/mnt/engg-niulab/Yuyao/preprocessed_512/L89/l89_6time_temporal_16_resized_to_224/00335545/plume.tif,253,252,32.026716,-104.11718,2019-10-22T15:11:26Z,2019-10-22T17:33:54Z,2019-10-06T17:33:52Z,2019-09-29T17:27:40Z,2019-09-20T17:33:48Z,2019-07-27T17:27:20Z,2018-10-28T17:27:13Z,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335545/l89_0.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335545/l89_prev1.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335545/l89_prev2.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335545/l89_prev3.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335545/l89_seasonal.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335545/l89_year.tif,GAO20191022t151126p0000,False
335553,1,GAO20191022t151126p0000-F,/mnt/engg-niulab/Yuyao/preprocessed_512/L89/l89_6time_temporal_16_resized_to_224/00335553,/mnt/engg-niulab/Yuyao/preprocessed_512/L89/l89_6time_temporal_16_resized_to_224/00335553/plume.tif,248,246,32.026716,-104.11718,2019-10-22T15:11:26Z,2019-10-22T17:33:54Z,2019-10-06T17:33:52Z,2019-09-29T17:27:40Z,2019-09-20T17:33:48Z,2019-07-27T17:27:20Z,2018-10-28T17:27:13Z,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335553/l89_0.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335553/l89_prev1.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335553/l89_prev2.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335553/l89_prev3.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335553/l89_seasonal.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335553/l89_year.tif,GAO20191022t151126p0000,False
335583,1,GAO20191022t151126p0000-F,/mnt/engg-niulab/Yuyao/preprocessed_512/L89/l89_6time_temporal_16_resized_to_224/00335583,/mnt/engg-niulab/Yuyao/preprocessed_512/L89/l89_6time_temporal_16_resized_to_224/00335583/plume.tif,245,246,32.026716,-104.11718,2019-10-22T15:11:26Z,2019-10-22T17:33:54Z,2019-10-06T17:33:52Z,2019-09-29T17:27:40Z,2019-09-20T17:33:48Z,2019-07-27T17:27:20Z,2018-10-28T17:27:13Z,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335583/l89_0.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335583/l89_prev1.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335583/l89_prev2.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335583/l89_prev3.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335583/l89_seasonal.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335583/l89_year.tif,GAO20191022t151126p0000,False
335589,1,GAO20191022t151126p0000-F,/mnt/engg-niulab/Yuyao/preprocessed_512/L89/l89_6time_temporal_16_resized_to_224/00335589,/mnt/engg-niulab/Yuyao/preprocessed_512/L89/l89_6time_temporal_16_resized_to_224/00335589/plume.tif,248,243,32.026716,-104.11718,2019-10-22T15:11:26Z,2019-10-22T17:33:54Z,2019-10-06T17:33:52Z,2019-09-29T17:27:40Z,2019-09-20T17:33:48Z,2019-07-27T17:27:20Z,2018-10-28T17:27:13Z,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335589/l89_0.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335589/l89_prev1.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335589/l89_prev2.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335589/l89_prev3.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335589/l89_seasonal.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335589/l89_year.tif,GAO20191022t151126p0000,True
335609,1,GAO20191022t151126p0000-F,/mnt/engg-niulab/Yuyao/preprocessed_512/L89/l89_6time_temporal_16_resized_to_224/00335609,/mnt/engg-niulab/Yuyao/preprocessed_512/L89/l89_6time_temporal_16_resized_to_224/00335609/plume.tif,245,245,32.026716,-104.11718,2019-10-22T15:11:26Z,2019-10-22T17:33:54Z,2019-10-06T17:33:52Z,2019-09-29T17:27:40Z,2019-09-20T17:33:48Z,2019-07-27T17:27:20Z,2018-10-28T17:27:13Z,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335609/l89_0.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335609/l89_prev1.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335609/l89_prev2.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335609/l89_prev3.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_3time/00335609/l89_seasonal.tif,/diniuvol/yuyao/methanefuse_research_20260727/cache/l89_6time_extra/00335609/l89_year.tif,GAO20191022t151126p0000,True
