source_dataset,source_row_number,sample_id,time_utc,latitude,longitude,site,label,flight_id,segment,metered_release_rate_kg_hr,ground_truth_source,mapping_status
40_five_site_time_coordinates_all_75_rows.csv,66,MethaneAIR_site_043_negative_006,2021-06-22T16:49:01Z,32.24573507576484,-93.28608513597064,MethaneAIR_site_043,0,,,,MethaneAIR,
40_five_site_time_coordinates_all_75_rows.csv,54,MethaneAIR_site_038_negative_002,2021-07-19T17:28:59Z,32.200692403948175,-103.68438683381196,MethaneAIR_site_038,0,,,,MethaneAIR,
40_five_site_time_coordinates_all_75_rows.csv,39,S2_NEG_01_01,2021-07-19T18:19:21Z,33.6306336125302,-114.48914318513344,Ehrenberg_AZ_release_stack,0,,,,2023_Scientific_Reports,
40_five_site_time_coordinates_all_75_rows.csv,40,S2_NEG_01_02,2021-07-26T18:09:21Z,33.6306336125302,-114.48914318513344,Ehrenberg_AZ_release_stack,0,,,,2023_Scientific_Reports,
40_five_site_time_coordinates_all_75_rows.csv,41,S2_NEG_01_03,2021-08-05T18:09:21Z,33.6306336125302,-114.48914318513344,Ehrenberg_AZ_release_stack,0,,,,2023_Scientific_Reports,
40_five_site_time_coordinates_all_75_rows.csv,42,S2_NEG_01_04,2021-08-08T18:19:21Z,33.6306336125302,-114.48914318513344,Ehrenberg_AZ_release_stack,0,,,,2023_Scientific_Reports,
40_five_site_time_coordinates_all_75_rows.csv,69,MethaneAIR_site_073_negative_001,2021-09-03T16:08:19Z,39.48790317419618,-80.54682932001603,MethaneAIR_site_073,0,,,,MethaneAIR,
40_five_site_time_coordinates_all_75_rows.csv,3,S2_HIGH_NEG_015,2021-09-07T18:19:21Z,33.6306336125302,-114.48914318513344,Ehrenberg_AZ_release_stack,0,,,,2023_Scientific_Reports,
40_five_site_time_coordinates_all_75_rows.csv,4,S2_HIGH_NEG_016,2021-09-09T18:09:09Z,33.6306336125302,-114.48914318513344,Ehrenberg_AZ_release_stack,0,,,,2023_Scientific_Reports,
40_five_site_time_coordinates_all_75_rows.csv,5,S2_HIGH_NEG_011,2021-09-12T18:19:09Z,33.6306336125302,-114.48914318513344,Ehrenberg_AZ_release_stack,0,,,,2023_Scientific_Reports,
40_five_site_time_coordinates_all_75_rows.csv,6,S2_HIGH_NEG_012,2021-09-14T18:09:51Z,33.6306336125302,-114.48914318513344,Ehrenberg_AZ_release_stack,0,,,,2023_Scientific_Reports,
40_five_site_time_coordinates_all_75_rows.csv,7,S2_HIGH_NEG_007,2021-09-19T18:09:19Z,33.6306336125302,-114.48914318513344,Ehrenberg_AZ_release_stack,0,,,,2023_Scientific_Reports,
40_five_site_time_coordinates_all_75_rows.csv,8,S2_HIGH_NEG_008,2021-09-22T18:19:59Z,33.6306336125302,-114.48914318513344,Ehrenberg_AZ_release_stack,0,,,,2023_Scientific_Reports,
40_five_site_time_coordinates_all_75_rows.csv,58,MethaneAIR_site_038_negative_006,2021-10-02T17:31:41Z,32.200692403948175,-103.68438683381196,MethaneAIR_site_038,0,,,,MethaneAIR,
40_five_site_time_coordinates_all_75_rows.csv,9,S2_HIGH_NEG_003,2021-10-02T18:21:09Z,33.6306336125302,-114.48914318513344,Ehrenberg_AZ_release_stack,0,,,,2023_Scientific_Reports,
40_five_site_time_coordinates_all_75_rows.csv,10,S2_HIGH_NEG_004,2021-10-09T18:12:49Z,33.6306336125302,-114.48914318513344,Ehrenberg_AZ_release_stack,0,,,,2023_Scientific_Reports,
40_five_site_time_coordinates_all_75_rows.csv,45,S2_NEG_02_01,2021-10-12T18:23:09Z,33.6306336125302,-114.48914318513344,Ehrenberg_AZ_release_stack,0,,,,2023_Scientific_Reports,
40_five_site_time_coordinates_all_75_rows.csv,43,S2_NEG_02_02,2021-10-14T18:13:31Z,33.6306336125302,-114.48914318513344,Ehrenberg_AZ_release_stack,0,,,,2023_Scientific_Reports,
40_five_site_time_coordinates_all_75_rows.csv,44,S2_NEG_02_03,2021-11-06T18:25:51Z,33.6306336125302,-114.48914318513344,Ehrenberg_AZ_release_stack,0,,,,2023_Scientific_Reports,
40_five_site_time_coordinates_all_75_rows.csv,46,S2_NEG_02_04,2021-11-08T18:15:49Z,33.6306336125302,-114.48914318513344,Ehrenberg_AZ_release_stack,0,,,,2023_Scientific_Reports,
