id,label,latitude,longitude,available_sensor,S2_t0_path,S2_pre_path,S2_pre_pre_path,S2_plume_label_path,L89_t0_path,L89_pre_path,L89_pre_pre_path,L89_plume_label_path,EMIT_t0_path,EMIT_pre_path,EMIT_pre_pre_path,EMIT_plume_label_path,S5p_temporal_path
267,1,31.8299163,-101.80811,S2,data/960m_GSD/s2/267/s2.tif,data/960m_GSD/s2/267/s2_pre.tif,data/960m_GSD/s2/267/s2_pre_pre.tif,data/960m_GSD/s2/267/s2_plume.tif,,,,,,,,,
273,1,31.8299163,-101.80811,S2,data/960m_GSD/s2/273/s2.tif,data/960m_GSD/s2/273/s2_pre.tif,data/960m_GSD/s2/273/s2_pre_pre.tif,data/960m_GSD/s2/273/s2_plume.tif,,,,,,,,,
281,1,31.8299163,-101.80811,S2,data/960m_GSD/s2/281/s2.tif,data/960m_GSD/s2/281/s2_pre.tif,data/960m_GSD/s2/281/s2_pre_pre.tif,data/960m_GSD/s2/281/s2_plume.tif,,,,,,,,,
287,1,31.8299163,-101.80811,S2,data/960m_GSD/s2/287/s2.tif,data/960m_GSD/s2/287/s2_pre.tif,data/960m_GSD/s2/287/s2_pre_pre.tif,data/960m_GSD/s2/287/s2_plume.tif,,,,,,,,,
295,1,31.8299163,-101.80811,S2,data/960m_GSD/s2/295/s2.tif,data/960m_GSD/s2/295/s2_pre.tif,data/960m_GSD/s2/295/s2_pre_pre.tif,data/960m_GSD/s2/295/s2_plume.tif,,,,,,,,,
303,1,31.8299163,-101.80811,S2,data/960m_GSD/s2/303/s2.tif,data/960m_GSD/s2/303/s2_pre.tif,data/960m_GSD/s2/303/s2_pre_pre.tif,data/960m_GSD/s2/303/s2_plume.tif,,,,,,,,,
311,1,31.8299163,-101.80811,S2,data/960m_GSD/s2/311/s2.tif,data/960m_GSD/s2/311/s2_pre.tif,data/960m_GSD/s2/311/s2_pre_pre.tif,data/960m_GSD/s2/311/s2_plume.tif,,,,,,,,,
319,1,31.8299163,-101.80811,S2,data/960m_GSD/s2/319/s2.tif,data/960m_GSD/s2/319/s2_pre.tif,data/960m_GSD/s2/319/s2_pre_pre.tif,data/960m_GSD/s2/319/s2_plume.tif,,,,,,,,,
327,1,31.8299163,-101.80811,S2,data/960m_GSD/s2/327/s2.tif,data/960m_GSD/s2/327/s2_pre.tif,data/960m_GSD/s2/327/s2_pre_pre.tif,data/960m_GSD/s2/327/s2_plume.tif,,,,,,,,,
335,1,31.8299163,-101.80811,S2,data/960m_GSD/s2/335/s2.tif,data/960m_GSD/s2/335/s2_pre.tif,data/960m_GSD/s2/335/s2_pre_pre.tif,data/960m_GSD/s2/335/s2_plume.tif,,,,,,,,,
341,1,31.8299163,-101.80811,S2,data/960m_GSD/s2/341/s2.tif,data/960m_GSD/s2/341/s2_pre.tif,data/960m_GSD/s2/341/s2_pre_pre.tif,data/960m_GSD/s2/341/s2_plume.tif,,,,,,,,,
349,1,31.8299163,-101.80811,S2,data/960m_GSD/s2/349/s2.tif,data/960m_GSD/s2/349/s2_pre.tif,data/960m_GSD/s2/349/s2_pre_pre.tif,data/960m_GSD/s2/349/s2_plume.tif,,,,,,,,,
358,1,31.8299163,-101.80811,S2,data/960m_GSD/s2/358/s2.tif,data/960m_GSD/s2/358/s2_pre.tif,data/960m_GSD/s2/358/s2_pre_pre.tif,data/960m_GSD/s2/358/s2_plume.tif,,,,,,,,,
368,1,31.8299163,-101.80811,S2,data/960m_GSD/s2/368/s2.tif,data/960m_GSD/s2/368/s2_pre.tif,data/960m_GSD/s2/368/s2_pre_pre.tif,data/960m_GSD/s2/368/s2_plume.tif,,,,,,,,,
376,1,31.8299163,-101.80811,S2,data/960m_GSD/s2/376/s2.tif,data/960m_GSD/s2/376/s2_pre.tif,data/960m_GSD/s2/376/s2_pre_pre.tif,data/960m_GSD/s2/376/s2_plume.tif,,,,,,,,,
384,1,31.8299163,-101.80811,S2,data/960m_GSD/s2/384/s2.tif,data/960m_GSD/s2/384/s2_pre.tif,data/960m_GSD/s2/384/s2_pre_pre.tif,data/960m_GSD/s2/384/s2_plume.tif,,,,,,,,,
392,0,31.8299163,-101.80811,S2,data/960m_GSD/s2/392/s2.tif,data/960m_GSD/s2/392/s2_pre.tif,data/960m_GSD/s2/392/s2_pre_pre.tif,data/960m_GSD/s2/392/s2_plume.tif,,,,,,,,,
399,0,31.8299163,-101.80811,S2,data/960m_GSD/s2/399/s2.tif,data/960m_GSD/s2/399/s2_pre.tif,data/960m_GSD/s2/399/s2_pre_pre.tif,data/960m_GSD/s2/399/s2_plume.tif,,,,,,,,,
406,0,31.8299163,-101.80811,S2,data/960m_GSD/s2/406/s2.tif,data/960m_GSD/s2/406/s2_pre.tif,data/960m_GSD/s2/406/s2_pre_pre.tif,data/960m_GSD/s2/406/s2_plume.tif,,,,,,,,,
414,0,31.8299163,-101.80811,S2,data/960m_GSD/s2/414/s2.tif,data/960m_GSD/s2/414/s2_pre.tif,data/960m_GSD/s2/414/s2_pre_pre.tif,data/960m_GSD/s2/414/s2_plume.tif,,,,,,,,,
422,0,31.8299163,-101.80811,S2,data/960m_GSD/s2/422/s2.tif,data/960m_GSD/s2/422/s2_pre.tif,data/960m_GSD/s2/422/s2_pre_pre.tif,data/960m_GSD/s2/422/s2_plume.tif,,,,,,,,,
430,0,31.8299163,-101.80811,S2,data/960m_GSD/s2/430/s2.tif,data/960m_GSD/s2/430/s2_pre.tif,data/960m_GSD/s2/430/s2_pre_pre.tif,data/960m_GSD/s2/430/s2_plume.tif,,,,,,,,,
